person,1,0,person 0.999,0,693,414,1314
cell phone,68,1,cell phone 0.999,590,684,784,898
mouse,65,2,mouse 0.986,1612,1701,782,837
tv,63,3,tv 0.969,761,908,228,340
chair,57,4,chair 0.917,1202,1729,1247,1336
tv,63,5,tv 0.914,1203,1369,207,318
tv,63,6,tv 0.840,604,732,241,352
book,74,7,book 0.834,567,629,192,246
chair,57,8,chair 0.823,601,1160,919,1266
laptop,64,9,laptop 0.811,618,1149,926,1237
tv,63,10,tv 0.762,926,1301,337,573
laptop,64,11,laptop 0.732,1165,1478,562,775
tv,63,12,tv 0.718,230,370,181,300
tv,63,13,tv 0.713,1424,1675,279,524
tv,63,14,tv 0.706,1382,1611,199,372
