person,1,0,person 0.999,957,1002,573,720
person,1,1,person 0.999,905,970,572,720
person,1,2,person 0.999,1077,1133,592,717
person,1,3,person 0.999,680,757,558,717
person,1,4,person 0.999,450,538,566,713
person,1,5,person 0.999,573,626,591,720
person,1,6,person 0.998,513,583,576,718
person,1,7,person 0.998,1015,1077,590,720
person,1,8,person 0.997,1116,1177,570,718
person,1,9,person 0.997,1221,1265,597,716
person,1,10,person 0.995,766,843,586,720
person,1,11,person 0.995,643,688,593,716
person,1,12,person 0.993,60,111,647,718
person,1,13,person 0.987,358,391,636,706
handbag,27,14,handbag 0.974,1153,1187,625,668
person,1,15,person 0.972,222,255,617,658
person,1,16,person 0.961,410,435,638,695
person,1,17,person 0.957,628,658,603,706
person,1,18,person 0.957,1062,1087,566,620
person,1,19,person 0.928,891,911,568,627
person,1,20,person 0.927,55,80,618,666
person,1,21,person 0.926,130,156,625,662
person,1,22,person 0.882,383,406,638,698
person,1,23,person 0.880,926,950,490,526
bicycle,2,24,bicycle 0.875,175,223,663,708
person,1,25,person 0.863,423,450,640,700
person,1,26,person 0.862,1,52,631,716
handbag,27,27,handbag 0.841,782,843,612,703
person,1,28,person 0.796,173,201,638,666
person,1,29,person 0.766,396,422,651,702
person,1,30,person 0.762,986,1045,460,587
chair,57,31,chair 0.753,123,162,663,710
handbag,27,32,handbag 0.740,590,623,627,683
handbag,27,33,handbag 0.702,817,846,650,705
