tv,63,0,tv 0.998,649,767,297,418
chair,57,1,chair 0.994,422,615,398,667
chair,57,2,chair 0.992,75,463,622,932
person,1,3,person 0.992,956,1248,468,910
person,1,4,person 0.988,329,439,280,453
tv,63,5,tv 0.987,492,559,271,355
chair,57,6,chair 0.979,185,293,266,470
chair,57,7,chair 0.963,890,1165,678,936
tv,63,8,tv 0.956,349,485,263,344
backpack,25,9,backpack 0.952,586,761,710,915
person,1,10,person 0.924,1104,1233,458,570
book,74,11,book 0.911,817,838,320,397
person,1,12,person 0.894,19,452,466,936
book,74,13,book 0.881,829,849,321,402
book,74,14,book 0.856,789,810,316,391
cup,42,15,cup 0.844,608,638,400,427
book,74,16,book 0.842,933,1027,507,614
book,74,17,book 0.835,801,817,319,391
keyboard,67,18,keyboard 0.819,500,566,358,382
chair,57,19,chair 0.808,288,398,482,570
suitcase,29,20,suitcase 0.793,808,914,677,876
chair,57,21,chair 0.768,271,413,374,530
person,1,22,person 0.728,130,231,446,524
chair,57,23,chair 0.706,2,118,315,653
